COD;DESCRIP;ACCIONF;UNIDAD;CODLAB;NETO;MARCA;CODBAR;UNIENT;CAN_ING;CAN_IN2;VALCOM;FECHA;VENCE;CONTEN;CLIENTE;MODIFICA;MINIMO;MAX;STOCK;SW_TIPO;SW_TIPO2;novigente
FA81301;DISULFIRANO 500MG             ;ANTIALCOHOLICO           ;COMP ;  ;45250;0;7,80001E+12;CAJA ;1.00;0.0;0;31-12-2001 0:00;30-11-2003 0:00;24;N_VALDIVIA     ;NULL;0;0;0;1;0;0
FC61306;PA¥OS CLINICOS ESTERILES;ANTIESPASMODICO          ;UNID ;  ;900;0;7,80001E+12;UNID ;11.00;0.0;590;20-09-2005 0:00;01-01-2006 0:00;1;               ;NULL;0;0;0;1;0;0
FH14203;DORMONID 15MG.X 30 COMP.           ;HIPNOTICO                ;CAJA ;  ;27500;0;               ;CAJA ;16.00;0.0;14180;04-09-2006 0:00;01-01-2007 0:00;1;ADMINISTRADOR5 ;NULL;20;30;16;2;0;0
FH80802;DROPERIDOL 5MG.  2ML. .                           ;NEUROLEPTICO             ;AMP  ;  ;1400;0;7,80006E+12;CAJA ;21.00;0.0;600;07-09-2005 0:00;01-01-2006 0:00;20;               ;NULL;30;70;36;1;0;0
FB8135.;FENITOINA SOD. 100MG               ;ANTIEPILEPTICO           ;COMP ;13;65;0;               ;CAJA ;30.00;0.0;12;01-01-1900 0:00;01-01-1900 0:00;30;N_VALDIVIA     ;NULL;300;600;120;1;0;0
FH64000;FLEET ENEMA FRAS  X 133ML                         ;LAXANTE                  ;FCO  ;  ;3600;0;7,80516E+12;FCO  ;19.00;0.0;2220;05-01-2002 0:00;30-01-2005 0:00;1;ADMINISTRADOR5 ;NULL;0;30;27;1;0;0
FH80800;FLUFENAZINA 250MG X 10ML 0.25                     ;NEUROLEPTICO             ;FCO  ;  ;600;0;8,00061E+11;FCO  ;135.00;0.0;11500;08-01-2002 0:00;30-05-2006 0:00;1;N_VALDIVIA     ;NULL;200;200;25;1;0;0
FL31308;NEXIUM 40                     ;TRANQUILIZANTE           ;COMP ;  ;1260;0;7,80001E+12;CAJA ;0.00;0.0;19;08-01-2002 0:00;30-09-2004 0:00;30;N_VALDIVIA     ;NULL;0;0;0;1;0;1
FB99902;FLUOXETINA 20MGG                                  ;ANTIDEPRESIVO            ;COMP ;  ;35;0;7,80006E+12;CAJA ;5.00;0.0;8;06-03-2003 0:00;01-10-2004 0:00;20;N_VALDIVIA     ;NULL;1;0;10;1;0;0
FH21301;GLIBENCLAMIDA 5MG.            ;HIPOGLICEMIANTE          ;COMP ;  ;20;0;7,80001E+12;CAJA ;90.00;0.0;4;04-01-2002 0:00;30-10-2003 0:00;30;N_VALDIVIA     ;NULL;300;700;600;1;0;0
FH84001;HALOPERIDOL 5MG                                   ;NEUROLEPTICO             ;COMP ;  ;240;0;7,80001E+12;CAJA ;-371.00;0.0;70;15-02-2002 0:00;01-01-1900 0:00;1000;N_VALDIVIA     ;NULL;1000;2000;4545;1;0;0
FG05001;HIDROCLOROTIAZIDA 50MG                            ;DIURETICO                ;COMP ;  ;72;0;7,80004E+12;CAJA ;2746.00;0.0;10;02-07-2004 0:00;01-03-2007 0:00;1000;               ;NULL;1000;1500;1076;1;0;0
FA63801;DICLOFENACO 25MG              ;ANTIACIDO                ;COMPR;  ;30;0;7,80003E+12;CAJA ;0.00;0.0;11;30-01-2003 0:00;01-06-2005 0:00;20;N_VALDIVIA     ;NULL;0;0;0;1;0;1
FD63802;IBUPROFENO 400MG                   ;ANTIINFLAMATORIO         ;COMP ;  ;60;0;               ;CAJA ;171.00;0.0;11;31-12-2001 0:00;31-07-2004 0:00;10;N_VALDIVIA     ;NULL;40;100;0;1;0;0
FH48700;BRIMOPRESS COLIRIO            ;ANTIGLAUCOMATOSO         ;FCO  ;  ;24070;0;7,80003E+12;FCO  ;2.00;0.0;0;08-11-2002 0:00;30-08-2004 0:00;1;N_VALDIVIA     ;NULL;0;0;0;4;0;0
FB91308;IMIPRAMINA 25MG                                   ;ANTIDEPRESIVO            ;COMP ;  ;40;0;7,80001E+12;CAJA ;360.00;0.0;14;07-11-2002 0:00;30-11-2002 0:00;60;N_VALDIVIA     ;NULL;700;1500;270;1;0;0
U000001;LAVADO DE ROPA                ;SIN ACCION FARMACOLO     ;UNID.;  ;10000;0;               ;     ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;7;0
FH41300;HIPOGLUGIN 500MG              ;HIPOGLICEMIANTE;CAJA ;  ;6300;0;7,80001E+12;CAJA ;4.00;0.0;4199;04-02-2002 0:00;30-08-2004 0:00;1;N_VALDIVIA     ;NULL;0;0;0;1;0;0
FL31312;RAZEPAM 2 MG.X 30 COMP.       ;TRANQUILIZANTE           ;CAJA ;  ;1000;0;7,80001E+12;CAJA ;20.00;0.0;7;28-09-2005 0:00;01-01-1900 0:00;1000;               ;NULL;0;0;0;1;0;1
FL30800;LORAZEPAM 4MG AMPO X100 X2ML                      ;ANSIOLITICO              ;AMP  ;  ;2200;0;7,80006E+12;CAJA ;4.00;0.0;1210;13-03-2002 0:00;30-01-2005 0:00;100;N_VALDIVIA     ;NULL;0;300;246;2;0;0
FC31301;LLAVE TRES PASOS              ;ANTIEMETICO              ;UNIDA;  ;1100;0;7,80001E+12;CAJA ;0.00;0.0;8;04-02-2002 0:00;30-05-2003 0:00;24;N_VALDIVIA     ;NULL;0;0;0;1;0;1
FB11301;NIFEDIPINO  10MG              ;ANTIANGINOSO             ;COMP ;  ;21;0;7,80001E+12;CAJA ;10.00;0.0;0;04-01-2002 0:00;20-03-2004 0:00;32;N_VALDIVIA     ;NULL;0;0;0;1;0;1
FE84001;OMEPRAZOL 20 MG.                   ;ANTIULCEROSO             ;CAPS ;  ;80;0;               ;CAJA ;-25.00;0.0;23;01-01-1900 0:00;01-01-1900 0:00;1000;               ;NULL;1500;2500;1414;1;0;0
FC49708;OXICODAL 600MG.30COM          ;ANTICONVULSIVANTE        ;CAJA ;  ;53890;0;               ;CAJA ;2.00;0.0;0;24-05-2006 0:00;01-02-2007 0:00;1;               ;NULL;0;0;0;1;0;0
FA31300;PARACETAMOL 500MG. COMP                           ;ANALGESICO               ;COMP ;  ;25;0;7,80001E+12;CAJA ;2880.00;0.0;10;05-01-2002 0:00;30-05-2005 0:00;1000;N_VALDIVIA     ;NULL;1500;2000;1515;1;0;0
FB43801;PIRIDOXINA 100 MGS                                ;VITAMINOTERAPIA          ;AMP  ;  ;250;0;7,80003E+12;CAJA ;189.00;0.0;70;06-08-2002 0:00;30-08-2005 0:00;100;N_VALDIVIA     ;NULL;200;400;284;1;0;0
FL01300;PENICILINA BENZATINA          ;PENICILINOTERAPIA        ;FCO  ;  ;890;0;7,80001E+12;FCO  ;1.00;0.0;254;05-01-2002 0:00;30-10-2003 0:00;1;N_VALDIVIA     ;NULL;0;0;0;1;0;0
FB96301;SERTRALINA 50MG.                                  ;ANTIDEPRESIVO            ;COMP ;  ;150;0;7,80002E+12;CAJA ;0.00;0.0;20;04-01-2002 0:00;31-12-2003 0:00;30;N_VALDIVIA     ;NULL;300;600;760;1;0;0
FD41302;PROPRANOLOL 10 MG             ;ANTIARRITMICO            ;COMP ;  ;20;0;7,80003E+12;CAJA ;-40.00;0.0;7;12-11-2002 0:00;01-12-2007 0:00;20;N_VALDIVIA     ;NULL;1000;1500;810;1;0;0
FE81302;COMPLEJO B                    ;VITAMINOTERAPIA          ;AMP  ;  ;1300;0;7,80001E+12;CAJA ;74.00;0.0;578;04-01-2002 0:00;30-03-2004 0:00;100;N_VALDIVIA     ;NULL;0;0;0;1;0;0
FE81301;DICLOFENACO GEL 1% 30GR                           ;ANTIINFLAMATORIO         ;TUB  ;  ;1032;0;7,80001E+12;TUB  ;10.00;0.0;434;26-03-2002 0:00;30-08-2003 0:00;1;N_VALDIVIA     ;NULL;2;10;2;1;0;0
FA10 04;SONDA ASPIRACION                   ;ACTIVADOR CEREBRAL       ;UNID ;  ;450;0;               ;UNID ;4.00;0.0;245;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;30;30;15;1;0;0
FH82801;SULPILAN FORTE 300MG                              ;ANTIDEPRESIVO            ;CAPS ;  ;1400;0;7,80491E+12;CAJA ;0.00;0.0;756;05-01-2002 0:00;01-02-2007 0:00;20;N_VALDIVIA     ;NULL;200;400;0;1;0;0
FB95801;SULPIRIDA 50MG.               ;ANTIDEPRESIVO            ;COMP ;  ;355;0;7,80005E+12;CAJA ;270.00;0.0;221;29-03-2005 0:00;01-01-2007 0:00;20;               ;NULL;250;300;180;1;0;0
FJ16601;SUXAMETONIO CLORURO 100MG. 5ML                    ;RELAJADOR MUSCULAR       ;AMP  ;  ;2800;0;7,80006E+12;CAJA ;0.00;0.0;1550;07-09-2005 0:00;01-01-2006 0:00;100;               ;NULL;50;100;35;1;0;0
UR26801;TERMOMETRO ORAL               ;NO FARMACO               ;UNID ;  ;1485;0;               ;UNID ;0.00;0.0;0;25-06-2005 0:00;01-01-2006 0:00;1;               ;NULL;0;0;0;1;1;0
FB41309;LAMOTRIGINA 100                                   ;ANTIEPILEPTICO           ;COMP ;  ;930;0;7,80001E+12;CAJA ;0.00;0.0;95;04-01-2002 0:00;28-04-2006 0:00;30;N_VALDIVIA     ;NULL;100;150;0;1;0;0
FH50800;PREGAVALINA 75 MGS X 30       ;ANALGESICO               ;CAJA ;  ;36500;0;               ;AMP;10.00;0.0;0;28-05-2003 0:00;01-01-1900 0:00;1;N_VALDIVIA     ;NULL;100;300;300;4;0;1
FA51303;CELEBRA 200 MGS X 10          ;ANTIINFLAMATORIO         ;CAJA ;  ;80130;0;7,80001E+12;CAJA ;0.00;0.0;0;04-01-2002 0:00;30-09-2005 0:00;1;N_VALDIVIA     ;NULL;0;0;0;1;0;0
FA51304;METOCLOPRAMIDA 10MG                ;ANTIEMETICO              ;COMP ;  ;36;0;               ;CAJA ;529.00;0.0;23;01-01-1900 0:00;01-01-1900 0:00;24;               ;NULL;300;500;480;1;0;0
FA11301;TONARIL 2 MG                       ;ANTIPARKINSONIANO        ;COMP ;  ;200;0;               ;CAJA ;990.00;0.0;75;01-01-1900 0:00;01-01-1900 0:00;100;               ;NULL;1000;2000;270;1;0;0
FC61304;TRIMEBUTINO 100 MG                                ;REGULADOR DIGESTIVO      ;COMP ;  ;30;0;7,80001E+12;CAJA ;930.00;0.0;16;29-12-2000 0:00;01-01-1900 0:00;30;N_VALDIVIA     ;NULL;200;500;290;1;0;0
FB91303;PREDNISONA 5MG                                    ;CORTICOTERAPIA           ;COMP ;  ;40;0;4,078E+14;CAJA ;136.00;0.0;7;18-02-2002 0:00;30-08-2004 0:00;20;N_VALDIVIA     ;NULL;100;200;250;1;0;0
FG01304;UREN COMP                     ;DIURETICO                ;COMP ;  ;95;0;7,80001E+12;CAJA ;98.00;0.0;0;24-10-2003 0:00;01-07-2006 0:00;24;N_VALDIVIA     ;NULL;0;0;0;1;0;0
FC64002;URICONT 5,0 MG.                                   ;ANTIESPASMODICO          ;COMP ;  ;310;0;7,80001E+14;CAJA ;70.00;0.0;78;04-01-2002 0:00;30-12-2005 0:00;50;N_VALDIVIA     ;NULL;400;1000;540;1;0;0
TR7P100;USO DE PABELLON  (ELECT.)     ;NO FARMACOLOGICO         ;UNID ;  ;6500;0;               ;     ;10.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;N_VALDIVIA     ;NULL;0;0;NULL;5;0;NULL
HL;HEPATOPROTECTORES                                 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FH82201;HALOPERIDOL AMPOLLA 1ML       ;NEUROLEPTICO             ;AMP  ;  ;443;0;7,80001E+12;CAJA ;179.00;0.0;248;31-12-2001 0:00;30-04-2003 0:00;100;N_VALDIVIA     ;NULL;200;500;439;1;0;0
F000 06;DIPIRONA INYECTABLE                ;ANTIPIRETICO             ;AMP  ;  ;500;0;               ;CAJA ;5941.00;0.0;110;01-01-1900 0:00;01-01-1900 0:00;100;               ;NULL;20;50;190;4;0;0
F000 12;CLORPROMAZINA AMPOLLA              ;NEUROLEPTICO             ;AMP  ;  ;250;0;               ;CAJA ;42.00;0.0;90;01-01-1900 0:00;01-01-1900 0:00;100;               ;NULL;100;300;245;1;0;0
F000 13;SENTIDOL75                    ;SIN ACCION FARMACOLOGICA ;CAJA ;  ;22785;0;               ;     ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 16;HEDERA HELIX                  ;MUCOLITICO               ;FCO  ;  ;3000;0;               ;FCO  ;0.00;0.0;750;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;10;30;19;1;0;0
F000 27;CIBLEX 30                     ;SIN ACCION FARMACOLOGICA ;COMP ;  ;1560;0;               ;     ;270.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 28;GEMFIBROZILO 600MG                 ;HIPOCOLESTEROLEMIANTE    ;COMP ;  ;150;0;               ;CAJA ;45.00;0.0;54;01-01-1900 0:00;01-01-1900 0:00;20;               ;NULL;600;1000;510;1;0;0
F000 30;CISORDINOL ACUTARD                 ;NEUROLEPTICO             ;CAJA ;  ;27360;0;7,79809E+12;CAJA ;3.00;0.0;17989;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;5;20;14;1;0;0
F000 34;MUXOL                         ;MUCOLITICO               ;FCO  ;  ;7500;0;               ;CAJA ;9.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;5;10;7;4;0;1
F000 38;SALBUTAMOL INHALADOR               ;BRONCODILATADOR          ;FCO  ;  ;2300;0;               ;FCO  ;6.00;0.0;916;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;5;15;9;1;0;0
F000 46;ATORVASTATINA 10MG COMP            ;HIPOCOLESTEROLEMIANTE    ;COMP ;  ;60;0;               ;CAJA ;190.00;0.0;29;01-01-1900 0:00;01-01-1900 0:00;30;               ;NULL;300;600;760;1;0;0
F000 65;BIOGEL SHAMPOO                ;SIN ACCION FARMACOLOGICA ;FRASC;  ;8900;0;               ;     ;5.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 69;FIBRASOL PVO                  ;LAXANTE                  ;FCO  ;  ;8185;0;               ;FCO  ;1.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;0;4;0;0
F000 77;BUXON 150Mg                        ;ANTIDEPRESIVO            ;COMP ;  ;850;0;               ;CAJA ;20.00;0.0;178;01-01-1900 0:00;01-01-1900 0:00;100;               ;NULL;100;300;150;1;0;0
F000 78;GLAFORNIL 500                      ;HIPOGLICEMIANTE          ;COMP ;  ;400;0;               ;CAJA ;30.00;0.0;4850;01-01-1900 0:00;01-01-1900 0:00;30;               ;NULL;200;300;3;1;0;0
F000 79;XARELTO X 28 COMP             ;ANTITROMBOTICO;CAJA ;  ;68000;0;               ;CAJA ;3.00;0.0;53000;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;0;4;0;0
F000 80;SINCRIS 10MG                  ;SIN ACCION FARMACOLOGICA ;COMP ;  ;1250;0;               ;     ;1959.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 85;GUTALAX GOTAS                 ;SIN ACCION FARMACOLOGICA ;FCO  ;  ;5411;0;               ;     ;8.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 88;ASICOT  100 MG                ;SIN ACCION FARMACOLOGICA ;COMP ;  ;829;0;               ;     ;-30.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 89;PREPARADO MAGISTRAL           ;SIN ACCION FARMACOLOGICA ;UNIDA;  ;18910;0;               ;     ;9980.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 94;HALOPERIDOL 1MG                    ;NEUROLEPTICO             ;COMP ;  ;125;0;               ;CAJA ;110.00;0.0;9;01-01-1900 0:00;01-01-1900 0:00;1000;               ;NULL;0;0;80;1;0;0
F000 98;ESPIRONOLACTONA 25mg               ;SIN ACCION FARMACOLOGICA ;COMP ;  ;33;0;               ;     ;214.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;170;1;0;NULL
F000 99;SPIRON 1MG COMP               ;SIN ACCION FARMACOLOGICA ;COMP ;  ;315;0;               ;     ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
F000 10;AMIODARONA 200 MGS X 20       ;ANTIARRITMICO;CAJA ;  ;2540;0;               ;CAJA ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;0;1;0;0
U000 48;PASTA DENTAL CHICA 50GR       ;SIN ACCION FARMACOLOGICA ;TUB  ;  ;500;0;               ;TUB  ;18.00;0.0;450;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;0;1;1;0
U000 49;PASTA DENTAL MEDIANA 90GR          ;SIN ACCION FARMACOLOGICA ;TUB  ;  ;750;0;               ;TUB  ;38.00;0.0;650;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;16;1;1;0
U000 51;SHAMPOO GRANDE I LT                ;SIN ACCION FARMACOLOGICA ;FCO  ;  ;1800;0;               ;CAJA ;20.00;0.0;1100;01-01-1900 0:00;01-01-1900 0:00;10;               ;NULL;0;0;18;1;1;0
U000 53;JABON BARRA                        ;COSMETICOS               ;BARRA;  ;390;0;               ;BARRA;0.00;0.0;195;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;18;1;1;0
U000 54;CEPILLO DENTAL                     ;COSMETICOS               ;UNID ;  ;1250;0;               ;UNID ;30.00;0.0;1200;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;17;1;1;0
U000 55;TOALLA HIGIENICA X 8               ;USO GENERAL;CAJA ;  ;1575;0;               ;CAJA ;0.00;0.0;1035;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;7;1;1;0
U000 56;PRESTOBARBA                        ;SIN ACCION FARMACOLOGICA ;UNID ;  ;950;0;               ;UNID ;-38.00;0.0;480;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;52;1;1;0
U000 58;EMULSIONADO GRANDE                 ;SIN ACCION FARMACOLOGICA ;FCO  ;  ;2220;0;               ;FCO  ;16.00;0.0;930;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;11;1;1;0
U000 60;DESODORANTE  HOMBRE                ;SIN ACCION FARMACOLOGICA ;FCO  ;  ;2400;0;               ;FCO  ;9.00;0.0;1100;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;38;1;1;0
U000 61;UNDERAN  2% UNGUENTO          ;SIN ACCION FARMACOLOGICA ;TUB  ;  ;26900;0;               ;TUB  ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;0;1;1;0
U000 63;COLONIA INGLESA 1000 ML            ;SIN ACCION FARMACOLOGICA ;FCO  ;  ;4000;0;               ;FCO  ;40.00;0.0;2200;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;0;0;14;1;1;0
U000 65;AGUJA 20G                     ;SIN ACCION FARMACOLOGICA ;UNIDA;  ;55;0;               ;     ;45.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;NULL;1;1;NULL
UC54501;MASCARILLA DESECHABLE X 50         ;ANESTESICO               ;CAJA ;  ;1500;0;               ;CAJA ;6.00;0.0;780;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;200;500;284;1;1;0
FG0001;FUROSEMIDA 20 MGS X 1 ML;DIURETICO                ;AMP  ;NULL;0;NULL;               ;CAJA ;NULL;NULL;380;01-01-1900 0:00;01-01-1900 0:00;100;NULL;NULL;0;0;98;1;0;0
U000 66;GLUCOSA AMPOLLA 30%                ;SIN ACCION FARMACOLOGICA ;AMP  ;  ;1050;0;               ;CAJA ;58.00;0.0;370;01-01-1900 0:00;01-01-1900 0:00;50;               ;NULL;3;5;12;1;1;0
U000 67;GLUCOSA 5% 500ML                   ;SIN ACCION FARMACOLOGICA ;FCO  ;  ;850;0;               ;FCO  ;2.00;0.0;550;01-01-1900 0:00;01-01-1900 0:00;1;               ;NULL;100;240;60;1;1;0
